pernos,initials,sex,address,postcode,mobNumber,homeNumber,workNumber,marketing,goneAway,value
6389,CA,2,"Flat 0, Smith prairie, Palmerfurt, E7B 0PJ",E7B 0PJ,+448081570876,+44(0)131 4960795,+44(0)1314960617,yes,0,710.0
6390,TU,2,"6 Colin square, Thomasport, WA84 3QQ",WA84 3QQ,0191 4960235,+44(0)1632 960204,+441174960646,yes,0,710.0
6391,RZ,1,"527 Eileen trail, Lake Patricia, M4 4HT",M4 4HT,+44(0)28 9018 0226,+44(0)9098790041,+44(0)28 9018905,no,0,710.0
6392,YZ,2,"16 Holmes mission, East Sean, HP4A 5SH",HP4A 5SH,+44(0)909 879 0416,0161 496 0038,(01632) 960 189,no,0,710.0
6393,RM,0,"Flat 04, Graham ports, Lake Gail, IV48 5HL",IV48 5HL,0114 496 0837,(0141) 4960141,+44(0)121 496 0716,yes,1,31527.883663099798
6394,LJ,2,"Flat 54, Graham port, Clarkport, CB69 9NE",CB69 9NE,(0131)4960661,(0191) 496 0458,+44(0)1414960977,yes,0,29987.800551179454
6395,BW,0,"01 Norman pines, Fisherborough, N5D 0AT",N5D 0AT,028 9018 0610,+44(0)1184960761,(0118) 4960228,no,0,238016.4759783345
6396,UJ,0,"Studio 29, Harry shoal, Nathantown, B24 1DW",B24 1DW,01174960478,+44(0)115 496 0744,(0909) 8790384,yes,0,30851.75617749743
6397,LC,0,"66 Linda meadow, Edwardsburgh, W9K 8AE",W9K 8AE,+44(0)161 4960830,+44(0)191 496 0764,(028) 9018865,yes,0,710.0
6398,CM,2,"9 Hicks mills, Michellehaven, W77 2WD",W77 2WD,(0121) 4960602,(0117) 496 0801,01174960327,yes,0,167427.96356781243
6399,WH,1,"2 Hudson courts, Rachelfurt, B5 3UJ",B5 3UJ,+44116 496 0751,+44(0)1632 960 672,0808 1570504,no,0,710.0
6400,QZ,2,"Studio 42R, Watts camp, Port Lewisshire, L02 4NY",L02 4NY,+448081570528,+44(0)161 4960971,(0113) 4960572,yes,0,29881.40996246796
6401,FL,1,"4 Simpson mountains, North Abdul, NR5 7TE",NR5 7TE,+44(0)909 8790657,0114 496 0766,0292018172,no,0,30871.890607095902
6402,RB,1,"Studio 5, Clive light, Port Staceyside, HS83 1LR",HS83 1LR,(0116) 496 0609,+44(0)161 496 0845,(0191)4960546,yes,0,172133.2580249429
6403,DT,2,"48 Molly grove, North Malcolmbury, W68 0TQ",W68 0TQ,01514960842,+44(0)115 4960745,+449098790406,no,0,31561.15491879362
6404,HM,1,"44 Mitchell views, Leonardborough, BL5 1LU",BL5 1LU,(0116) 496 0364,(028) 9018020,+44(0)9098790083,no,0,218519.82063811872
6405,WF,2,"0 Stevens rapid, Brendabury, BL1H 3JN",BL1H 3JN,+44(0)1144960118,+44114 496 0072,0161 496 0003,no,0,33173.50188297578
6406,WJ,2,"22 Matthew via, Wongburgh, G94 8SY",G94 8SY,+44(0)115 4960069,+44(0)1134960006,0909 8790357,no,0,109796.91954044564
6407,LK,2,"Studio 97K, Green crossing, West Shane, E0 5WA",E0 5WA,0118 496 0322,+44151 4960247,029 2018 0269,yes,0,31239.5154157144
6408,WJ,2,"6 Williams spring, West Derek, M1J 8GR",M1J 8GR,+44(0)114 4960080,(0141) 4960979,(0118) 496 0620,yes,1,33765.65236222574
6409,TS,0,"Studio 55J, Jean expressway, West Paula, DE46 1HY",DE46 1HY,+44(0)117 4960458,+44(0)808 157 0658,+44(0)909 879 0786,no,0,710.0
6410,US,1,"19 Simon stravenue, North Helenport, LS8B 2LY",LS8B 2LY,+4429 2018 0530,+44(0)1314960255,0161 4960660,no,0,32105.60563284376
6411,PC,0,"835 Timothy cove, Lake Carlyville, E07 4XD",E07 4XD,+44191 4960045,(0115) 496 0952,(0121) 4960423,no,1,710.0
6412,VF,0,"Studio 1, Brown trail, Abigailmouth, LU96 8JW",LU96 8JW,(0306)9990961,+44(0)1632 960 598,+44(0)1632960903,no,0,19330.336337163048
6413,JT,1,"Flat 8, Janet island, West Eric, W2 7WH",W2 7WH,(01632) 960 738,(0151) 496 0969,(0141) 496 0394,yes,0,710.0
6414,IL,2,"Studio 58b, Griffin cliffs, Carolefort, NR6 5TP",NR6 5TP,+44(0)29 2018 0261,01632960752,+44(0)113 4960024,yes,0,267794.98321139126
6415,UQ,2,"Flat 24, Mitchell road, East Antony, NE0Y 1UH",NE0Y 1UH,+44118 4960591,+44(0)306 999 0996,+44113 496 0474,yes,0,32814.95332807204
6416,RN,0,"3 Katy overpass, Carterborough, AB93 1GX",AB93 1GX,0909 8790837,(0121)4960745,+44151 4960893,no,0,710.0
6417,MW,1,"Flat 61, Kerr mission, Foxview, L5B 3RA",L5B 3RA,(0131)4960512,(0115)4960411,0117 4960221,no,0,208726.09091947874
6418,UI,1,"00 Rosie estate, West Terryton, N0H 0DA",N0H 0DA,+44(0)29 2018789,+44(0)191 4960288,0114 4960451,no,0,710.0
6419,BO,2,"700 Amber avenue, Paulinefurt, BT13 5YE",BT13 5YE,(0118)4960162,+44(0)117 496 0683,+44(0)29 2018469,no,0,271854.3239083854
6420,YI,2,"Studio 82, Brenda land, Lake Emmahaven, TR1N 1ZF",TR1N 1ZF,+44(0)113 4960035,(0131) 4960270,(0116) 4960343,no,0,162995.66657633352
6421,QY,0,"Studio 43E, Brenda center, Dominicview, AB8 4DS",AB8 4DS,+44131 4960576,(0113)4960038,09098790805,yes,0,710.0
6422,OB,0,"12 Hill gardens, East Chloe, HS7 6NE",HS7 6NE,+4420 7496 0938,01154960799,(0161) 496 0135,yes,0,29394.89279581481
6423,BO,1,"Flat 3, Jones trace, Tinaport, SA60 6FB",SA60 6FB,+44(0)121 4960979,+44(0)1144960246,+44131 496 0867,no,1,205000.7471125462
6424,JH,1,"Studio 70j, Adam meadow, East Sophie, FY1P 3SG",FY1P 3SG,(0141) 4960003,029 2018 0656,(0131) 4960236,yes,0,31081.368600109556
6425,ZC,2,"Studio 0, Talbot route, Lake Katie, BL76 2EA",BL76 2EA,028 9018777,+44151 4960888,+44(0)289018936,yes,0,710.0
6426,GV,0,"185 Mandy plains, North Stephenland, RM2M 4ED",RM2M 4ED,+441614960455,(029) 2018 0937,+44(0)121 496 0393,yes,0,32782.9024643568
6427,GT,2,"Flat 52w, Leanne mountain, Paulton, TW0H 4YD",TW0H 4YD,+441632 960 858,+441632 960985,+44(0)141 496 0444,yes,0,16147.466700985364
6428,TX,2,"Flat 48I, Timothy street, East Christianside, CH63 0BL",CH63 0BL,(0131) 4960033,0115 4960366,(0161) 4960746,no,0,273323.451229663
6429,WP,0,"560 Hall extension, Teresaville, W2 9ZT",W2 9ZT,01314960629,+44131 496 0667,+449098790399,no,0,710.0
6430,QM,0,"7 Diane key, Jamesland, L56 0RF",L56 0RF,+44(0)9098790162,0289018113,020 7946 0820,yes,0,710.0
6431,IA,1,"Flat 06X, Rogers village, Davieschester, E1W 0DW",E1W 0DW,0191 4960225,+44(0)113 496 0251,+44(0)1164960785,yes,0,226496.4102956605
6432,EB,0,"Flat 30B, Burton flat, West Joelville, RM7 0LW",RM7 0LW,(0118) 4960469,(0909) 879 0098,+44808 1570725,yes,0,32678.63017031559
6433,VD,0,"Studio 39r, Hannah motorway, Jonesfort, GY7 7GX",GY7 7GX,+441184960771,+44(0)1164960504,0115 496 0614,no,0,31114.460910481226
6434,NA,1,"Studio 9, Helen mission, East Danny, SY1Y 1NQ",SY1Y 1NQ,0115 4960445,08081570511,+44118 4960136,no,0,29875.92603469917
6435,XL,0,"491 Rees park, Millershire, TQ7N 5SG",TQ7N 5SG,0114 496 0617,+441174960377,+441614960492,no,0,710.0
6436,WY,1,"Studio 1, Gallagher station, Lake Mohammedberg, E6 6JF",E6 6JF,+44(0)151 496 0198,(0909) 879 0000,0141 4960423,no,0,32835.2458096159
6437,RJ,1,"19 Turner square, North Trevorport, KT2H 3DU",KT2H 3DU,0151 4960508,+44(0)1174960670,+44151 4960843,no,0,710.0
6438,XR,1,"Studio 56, John underpass, New Leanne, S96 4WA",S96 4WA,+44(0)3069990889,(0191) 4960711,0115 496 0396,no,0,710.0
6439,AG,1,"84 Hooper run, Laneview, G5 9ZA",G5 9ZA,+44(0)1632960840,+448081570670,+44808 1570609,no,0,41861.5304906814
6440,OD,2,"5 Holland summit, Cherylmouth, B6H 3UQ",B6H 3UQ,+44(0)1614960165,+441632 960219,+44(0)191 4960424,no,0,32948.689439776914
6441,SJ,2,"40 Stevens shores, Ballmouth, S4K 0AU",S4K 0AU,(0191)4960061,0151 496 0052,+44141 4960846,no,0,167013.7643381252
6442,TO,2,"2 Maurice cliff, Owenport, E09 9QJ",E09 9QJ,+44141 4960166,+44115 496 0823,(0141) 4960976,no,0,710.0
6443,SZ,0,"Flat 77R, Morton squares, Port Annaport, FY45 7GT",FY45 7GT,(0115)4960241,(020) 7496 0961,+443069990091,yes,0,31252.56266524503
6444,LR,2,"33 Johnson valley, Chloefurt, B3E 9XG",B3E 9XG,01632 960 679,(0121) 496 0059,+44113 4960953,no,1,186423.1841398232
6445,RT,1,"Flat 0, Martin turnpike, Port Oliver, L15 7WA",L15 7WA,+44(0)117 496 0937,(0116)4960895,+443069990724,yes,0,710.0
6446,WP,0,"Studio 27R, Olivia harbor, Hillmouth, CH7 1BW",CH7 1BW,0306 999 0161,+44306 999 0310,+44(0)121 4960787,yes,0,710.0
6447,EN,1,"Flat 6, Smith ports, West Rogershire, SP0B 8DW",SP0B 8DW,0115 496 0221,+44(0)161 496 0287,0161 4960143,yes,0,32422.620922191796
6448,BT,0,"4 Matthew bridge, Lake Marcus, M9G 7GN",M9G 7GN,+44(0)141 4960045,0306 999 0096,+44306 9990503,no,0,710.0
6449,AM,1,"966 Gill curve, Port Francisville, DN2 2YL",DN2 2YL,+44113 4960770,(0909) 8790630,01214960394,no,0,710.0
6450,LZ,0,"Studio 2, Davies village, Bellborough, W17 7NL",W17 7NL,+44(0)1614960545,+44(0)808 1570279,09098790697,yes,0,31201.781400529955
6451,IF,1,"7 Howells falls, West Jasmine, KA46 4TZ",KA46 4TZ,0113 4960569,(020)74960404,+441184960659,no,1,710.0
6452,OZ,0,"Flat 9, Porter harbor, Jeffreyton, W53 3QF",W53 3QF,0191 4960435,0161 4960247,+44(0)1134960610,no,0,201510.9040689608
6453,QA,1,"06 Taylor dale, Ballville, L0 1TX",L0 1TX,+441514960194,+44191 496 0333,+4428 9018428,yes,0,710.0
6454,SO,1,"Flat 53, Chapman station, Akhtarside, EH2 3RJ",EH2 3RJ,+4420 7496 0304,+44(0)1632 960241,020 7946 0600,no,0,132153.64441990643
6455,OG,1,"Studio 43R, Kenneth road, Coleland, SR17 2TE",SR17 2TE,+44(0)118 4960490,0118 496 0317,(0117)4960706,no,0,30537.38675021727
6456,QD,0,"08 Bell groves, Nicholsonberg, G52 8TW",G52 8TW,+44(0)306 999 0284,+44118 496 0191,+4429 2018 0428,yes,0,29433.220629871696
6457,TF,1,"564 Stewart corner, Hydechester, CF4P 6EQ",CF4P 6EQ,+44(0)151 4960077,(0131) 496 0899,0118 496 0637,yes,0,710.0
6458,JX,0,"45 Megan walks, Pamelaville, DD00 8XZ",DD00 8XZ,+441914960727,+44121 496 0748,+44116 496 0380,no,0,710.0
6459,PK,2,"Studio 24Z, Peter fords, North Maureen, LL08 4ND",LL08 4ND,+44118 496 0553,+44(0)114 4960123,+44114 4960638,no,0,30546.25180033702
6460,QH,2,"Flat 9, Kaur prairie, New Sallyport, BN4W 5GN",BN4W 5GN,(0113) 496 0917,(029) 2018552,+44(0)121 496 0406,yes,1,180686.06480621954
6461,QY,0,"Flat 43, Evans inlet, Hoopermouth, BT0 4ZZ",BT0 4ZZ,(0306) 999 0622,01144960725,0909 879 0551,yes,0,30841.393656225482
6462,WH,1,"Studio 42r, Mohammed rest, Patelshire, GU39 3EE",GU39 3EE,+441214960597,(0141)4960224,+44(0)1414960349,no,0,33012.946780384584
6463,WY,0,"Studio 4, Price meadows, Martinmouth, DG8 2PY",DG8 2PY,(0151) 4960426,0113 496 0177,+448081570601,no,0,710.0
6464,JX,2,"1 Frost circle, Williamport, S52 7HN",S52 7HN,(0191) 4960489,(0116)4960854,0292018240,yes,0,33029.26674045769
6465,DA,1,"160 Roberts path, East Ashleigh, G3U 8RL",G3U 8RL,01314960643,(0117)4960084,(0808) 1570488,yes,0,193541.3341115361
6466,MX,0,"Flat 27, Burton ports, Paulshire, S5K 0LR",S5K 0LR,+44141 496 0031,(029) 2018 0802,0113 4960806,yes,0,710.0
6467,MS,1,"3 Lewis ville, Fionatown, NE8W 0QR",NE8W 0QR,+44(0)909 8790210,0114 496 0715,+44(0)1914960210,no,0,32060.820987325616
6468,AO,0,"211 Irene turnpike, Zoeberg, TS7 0DA",TS7 0DA,+44(0)29 2018377,01514960584,+44114 4960974,yes,0,710.0
6469,NF,0,"20 Wendy fort, North David, ML9X 4NT",ML9X 4NT,+44(0)116 496 0033,+44(0)306 9990039,+441184960000,yes,1,47468.44485426087
6470,TC,1,"558 Anna causeway, Lake Nicole, NR7V 2UX",NR7V 2UX,+44131 496 0097,(0808) 1570928,0289018263,yes,1,710.0
6471,GO,2,"29 Diana glens, Port Francisview, RH29 2LT",RH29 2LT,+44(0)113 496 0238,(020)74960602,(028) 9018766,no,1,4135.5137818296225
6472,PV,2,"Studio 80, Murray grove, West Hollyfort, L7 2RL",L7 2RL,0115 496 0337,+44(0)1214960204,0114 496 0228,yes,0,12179.99898357803
6473,NV,2,"17 Jenna trail, West Terryborough, B78 1HH",B78 1HH,(0115) 4960659,(0808)1570220,+44(0)909 879 0413,no,0,41882.50883343851
6474,IM,1,"8 Knowles tunnel, Port Bruce, EH3R 7FL",EH3R 7FL,0113 496 0973,(0141) 496 0114,+442074960381,yes,0,273557.18100707215
6475,ZL,0,"Studio 05T, Elizabeth green, Lake Davidbury, N14 5WF",N14 5WF,+44(0)292018875,(0118) 4960507,(0118) 4960178,no,0,31256.984264829047
6476,RI,1,"Flat 02h, Stevens pine, New Marilyn, G67 2FD",G67 2FD,(0113) 496 0538,+44(0)151 496 0002,+44(0)131 496 0529,no,0,710.0
6477,BY,0,"Studio 24, Newton spur, North Alisonville, RM3B 7JP",RM3B 7JP,+44(0)808 1570574,+44(0)1914960570,+44161 4960792,no,0,710.0
6478,HO,1,"Studio 44, Louise tunnel, Lake Luke, G1B 6WW",G1B 6WW,+44141 4960415,+44(0)1174960692,(01632)960301,yes,0,87286.63072065084
6479,QJ,1,"Flat 62, Alexandra fields, Rogersfurt, L6 1YT",L6 1YT,01184960379,+44(0)1214960930,0131 496 0264,yes,0,710.0
6480,MZ,1,"Flat 84t, Hall courts, Lake Joshmouth, LU4 8FH",LU4 8FH,0113 496 0486,0808 157 0033,+44(0)117 496 0005,yes,1,31150.27180447194
6481,HH,1,"Studio 1, Lynda lane, Denismouth, KW53 5YN",KW53 5YN,+44(0)28 9018 0742,(020) 7496 0052,(0113) 496 0331,yes,1,51348.62479140192
6482,LB,1,"Flat 0, Sanders valleys, Brettside, E4 4WL",E4 4WL,(0117) 496 0995,(020)74960544,(020) 7496 0816,no,0,62758.6804014492
6483,SH,0,"67 Jenkins oval, Alimouth, S44 7QQ",S44 7QQ,+441174960901,+44(0)117 496 0938,(0116) 4960384,yes,0,31641.24403416649
6484,LL,1,"31 Dickinson spurs, North Natalieside, BT8 8LF",BT8 8LF,0909 879 0332,01314960793,(0114) 496 0647,yes,0,119283.8933839249
6485,HO,1,"Flat 5, Page lock, New Deniseton, G3 8NL",G3 8NL,+44808 157 0418,(0117)4960708,0115 496 0924,no,0,30516.02505719693
6486,TD,1,"75 Matthew harbor, Port Eric, LS42 9DU",LS42 9DU,09098790460,01632 960 849,(0191) 496 0311,yes,0,710.0
6487,BA,0,"665 Leslie ports, South Alan, BH7W 1PU",BH7W 1PU,+44114 496 0699,+44(0)1914960838,+44(0)8081570196,no,0,31465.484350195133
6488,AI,1,"Studio 2, Jacqueline landing, McCarthyside, EC28 9JA",EC28 9JA,+441314960290,+44115 4960018,(0151)4960420,no,1,258490.85170116715
6489,OP,2,"Flat 27n, Clarke squares, Armstrongshire, ZE9 1ES",ZE9 1ES,+44118 496 0772,0117 496 0994,0808 1570508,no,0,273455.2231313549
6490,NL,2,"Studio 6, Baldwin rest, Dawsonfort, G29 7GH",G29 7GH,(0113) 4960359,+441134960263,+44(0)118 4960807,no,0,710.0
6491,WB,1,"Studio 20, Philip branch, North Nicholasland, B8D 9RY",B8D 9RY,+4429 2018 0113,028 9018 0393,+44113 496 0195,yes,0,32108.716251730886
6492,GU,2,"Studio 76, Christopher park, Williammouth, HX31 8BZ",HX31 8BZ,01632960647,0121 496 0348,+44909 879 0551,no,0,31840.446345986686
6493,SD,0,"39 Glen mews, Port Pamelashire, S36 1YS",S36 1YS,+441134960094,+44(0)114 4960763,+44(0)1914960048,no,0,33237.1005067963
6494,XU,0,"Studio 55E, Holmes tunnel, South Grahamhaven, W27 7BF",W27 7BF,+441174960507,+44(0)9098790232,+44131 496 0087,yes,0,30058.20415001089
6495,IP,0,"907 Mohamed view, New Staceyborough, L5A 9RX",L5A 9RX,+44115 496 0040,01144960689,(0306) 999 0837,yes,0,29907.718239799982
6496,ZF,2,"994 Clive parks, East Donaldview, SE09 9DX",SE09 9DX,(0161) 496 0554,+4420 74960452,+44(0)191 4960086,no,0,710.0
6497,RF,1,"Flat 26, Smith terrace, Lake Garry, W38 2RD",W38 2RD,(0151)4960903,+44(0)191 496 0667,+44113 496 0639,yes,0,165657.5829922522
6498,YZ,0,"Studio 4, Ingram summit, Lake Janice, TQ0 4SN",TQ0 4SN,+44(0)116 4960084,(028)9018883,+44(0)116 496 0029,yes,1,117585.55579546996
6499,VD,2,"Studio 12d, Leslie key, North Owenmouth, KY1 3XT",KY1 3XT,(0151) 4960534,(0161) 4960681,(0141)4960195,no,0,207897.60223246453
6500,BR,0,"8 Reid fields, West Harriet, KW8B 0FF",KW8B 0FF,+44(0)20 74960405,0116 4960992,+44(0)1164960235,yes,0,32992.51003263589
6501,QP,0,"77 Howell well, North Joanneton, HG00 1XX",HG00 1XX,+44114 496 0315,(01632)960785,+44(0)191 496 0434,no,1,33393.40792858265
6502,AH,1,"436 Cheryl crest, Lake Howardmouth, M1 5UT",M1 5UT,(0909) 8790834,(0117)4960369,(0808)1570590,yes,0,30760.780492313166
6503,YH,1,"Flat 8, Smith canyon, Jamieshire, BD4 1DZ",BD4 1DZ,0306 999 0357,(0131) 496 0690,+44(0)151 4960494,no,0,30066.989705304
6504,BM,2,"Studio 41, Bray fork, Lewisberg, M2H 9YJ",M2H 9YJ,+44(0)113 496 0500,0118 496 0824,(029)2018883,no,0,92935.40399929136
6505,YP,2,"Studio 19, Damian burgs, West Phillip, L7 8NB",L7 8NB,+441314960652,+44(0)1184960725,(0116) 4960398,no,0,92018.60340191315
6506,QC,1,"470 Samuel station, Rhysside, WR5 0AT",WR5 0AT,+44(0)8081570360,+441632960154,(0121)4960688,no,0,710.0
6507,UG,1,"Studio 75, Joanne gateway, Barnesmouth, BN8 5ZZ",BN8 5ZZ,(0114) 4960005,028 9018 0129,028 9018 0087,yes,0,710.0
6508,TV,0,"Flat 22G, Wright summit, Stevenfurt, LE2 1QN",LE2 1QN,+44(0)116 496 0638,(0191) 496 0694,+44131 4960601,yes,0,32575.84130944377
6509,OI,2,"789 Andrea forks, Caroleland, N69 4LX",N69 4LX,+44(0)1184960300,(01632) 960 122,+441154960596,yes,1,710.0
6510,FU,1,"319 Warner dam, Watsonville, PL4M 9DE",PL4M 9DE,(0191) 496 0184,+44(0)191 4960786,(0117) 4960030,no,0,710.0
6511,UR,1,"Studio 19, Roberts squares, North Terencefort, GY0E 7SG",GY0E 7SG,+44(0)289018316,+44113 496 0981,+44(0)131 496 0320,no,0,31113.204344640035
6512,KU,1,"Studio 94, Marion hill, Jamesmouth, M29 4ZH",M29 4ZH,01154960696,+44(0)1414960323,(0191)4960790,yes,0,30239.630750961947
6513,YD,0,"Flat 68, Power drive, Karlbury, M2W 9TX",M2W 9TX,(0808)1570800,+44(0)1314960381,(020) 7496 0136,no,1,201769.2681267696
6514,JC,1,"Flat 05i, Chapman knolls, West Albertchester, G82 0JS",G82 0JS,+44(0)151 496 0581,0141 496 0509,0121 496 0777,yes,0,131878.20575437215
6515,EP,1,"Flat 46, Woodward walks, South Joe, SR6X 4BL",SR6X 4BL,0113 4960788,+44(0)151 4960101,+44(0)131 4960046,yes,0,30493.43368950702
6516,UJ,1,"479 Brooks throughway, Nicoleview, E1D 4GP",E1D 4GP,+44(0)114 4960953,0121 4960565,+44(0)2074960142,no,0,159194.52089055188
6517,BD,2,"6 Shannon fall, Smithmouth, NE6B 6LZ",NE6B 6LZ,+441214960388,+44(0)113 4960669,(0115)4960498,yes,0,32736.98445652737
6518,PJ,2,"235 Jason loop, Summersfort, PL23 9TS",PL23 9TS,0151 4960379,+44121 4960180,(0118)4960830,yes,0,202794.4108434647
6519,UF,1,"Studio 36Y, Russell groves, Cooperville, N5K 5UD",N5K 5UD,+44(0)20 7496 0539,01164960234,+44(0)161 496 0802,yes,0,32647.61288453046
6520,RV,1,"Studio 13S, Patel fork, South Hollie, WN6B 6FR",WN6B 6FR,+448081570349,+44(0)306 999 0438,+4429 2018559,no,0,26016.872979313684
6521,QN,1,"Flat 3, Reece avenue, Harrisonborough, B3 0UG",B3 0UG,+44(0)131 496 0074,0113 496 0372,+44(0)808 1570492,yes,0,99303.91453986679
6522,BR,0,"Studio 7, Julie well, Bretttown, PL25 6HF",PL25 6HF,(029) 2018469,+44(0)151 4960363,+44(0)1174960577,yes,1,31140.49321963531
6523,SM,0,"Studio 86y, Taylor pine, Hammondhaven, L52 6NE",L52 6NE,0113 496 0983,+44(0)808 157 0255,+44(0)117 4960650,no,0,142528.17585872093
6524,YM,1,"Studio 38, Clark unions, West Julieside, CO85 4AR",CO85 4AR,+44909 8790450,(0114) 4960801,+441414960112,no,0,30969.58750034008
6525,UP,0,"456 Guy alley, Jacquelineville, DN7 7SD",DN7 7SD,(0161) 4960992,+44808 157 0346,(0909) 879 0226,no,0,84782.7361947617
6526,PN,0,"Studio 10, Phillips fields, East Nigelmouth, SR9E 2BU",SR9E 2BU,(0115)4960279,+44(0)1514960602,0115 496 0564,no,1,710.0
6527,GA,1,"7 Akhtar lights, Johnchester, L0H 2NQ",L0H 2NQ,01414960829,+44(0)909 8790548,(0113) 4960183,yes,0,710.0
6528,SD,1,"Flat 31, Morris view, East Alisonfort, PO7M 8WL",PO7M 8WL,0114 496 0215,0114 496 0487,+44(0)114 496 0939,yes,0,29635.793413301104
6529,RO,2,"48 Natalie stream, West Maxmouth, OX6E 3HE",OX6E 3HE,+441632 960935,+449098790453,01174960868,yes,0,710.0
6530,CW,2,"Flat 5, Armstrong avenue, Reevesfurt, M22 7DG",M22 7DG,+44(0)1144960202,0113 4960800,+44306 9990800,yes,0,279091.58705230633
6531,WE,1,"53 Beverley coves, Pearsonmouth, N48 0AX",N48 0AX,+44306 9990233,0131 4960232,(0191) 496 0657,no,0,103486.01151685943
6532,SL,2,"Flat 79M, Hollie mall, South Julia, E83 9UE",E83 9UE,+44(0)1914960002,08081570088,(0161) 496 0020,yes,0,33454.472940033775
6533,NR,1,"Studio 94, Griffin fort, Huntermouth, SR48 0GJ",SR48 0GJ,+441154960888,+4420 7496 0459,+44(0)117 496 0889,yes,1,29773.80446273937
6534,VI,0,"Flat 95, Potter run, Clarkbury, DY93 1YY",DY93 1YY,(0141) 496 0145,(0161) 4960345,+44306 9990788,no,0,30002.348778762123
6535,JQ,2,"913 Austin lodge, New Robinfurt, G4W 4QG",G4W 4QG,+441184960501,+44(0)118 496 0054,+44292018935,no,0,31871.004811942774
6536,DZ,1,"Flat 58, Malcolm islands, Haynesborough, KT0H 3AF",KT0H 3AF,03069990080,028 9018 0613,+44306 999 0289,no,0,156962.2018644433
6537,AH,1,"Studio 32, Gerard river, South Duncan, G7 0AH",G7 0AH,09098790530,+44(0)113 496 0464,+441184960755,no,0,710.0
6538,DX,1,"Studio 36, Jeremy flats, North Geraldine, BH20 2JU",BH20 2JU,(0151) 4960751,029 2018 0109,+44115 496 0367,yes,0,31580.497642957103
6539,VI,0,"453 Mason lodge, Lake Deborah, N79 1RU",N79 1RU,+44(0)1632960387,+441614960246,+44(0)29 2018 0090,yes,1,31524.39954573211
6540,VJ,1,"889 Patricia island, West Ricky, M5E 7XY",M5E 7XY,+44(0)151 496 0139,0306 999 0414,(0909) 879 0037,yes,0,710.0
6541,EW,1,"41 Williams ville, West Charlieborough, DY6 6BE",DY6 6BE,+442074960349,03069990204,01414960494,no,0,710.0
6542,FW,1,"0 Davison fields, Jeffreytown, SO06 3SN",SO06 3SN,+44114 4960160,+44(0)1184960098,+44151 496 0539,no,0,26865.279101998887
6543,NV,0,"Studio 1, Williams plains, Alanmouth, B6 2ZB",B6 2ZB,+44(0)29 2018735,(0191) 4960445,0116 496 0610,no,0,710.0
6544,IJ,2,"71 Dominic street, East Keithfort, W19 0EJ",W19 0EJ,+44(0)1414960381,0114 496 0299,+44141 496 0517,yes,1,171874.20198425153
6545,DQ,2,"Studio 11d, Phillips well, East Lesley, GY2B 4EB",GY2B 4EB,(028) 9018 0717,(0121) 4960811,+441632 960437,no,0,710.0
6546,WL,1,"Studio 27, Emma cliff, Deanton, TR27 5WQ",TR27 5WQ,+44(0)161 496 0790,+44(0)1214960733,+44(0)113 4960793,no,0,134205.470787939
6547,SM,1,"638 Fisher alley, Lake Alanmouth, WC79 2SE",WC79 2SE,+441164960704,+44(0)292018796,(0131) 496 0178,yes,0,710.0
6548,AM,1,"Flat 29X, Natasha club, Aaronstad, CW5 4SS",CW5 4SS,(0161) 4960689,+44(0)151 496 0723,+44115 4960112,no,0,32088.040465843962
6549,AB,1,"5 Peter shoal, Francesborough, E9 7FD",E9 7FD,0118 4960378,(0161) 496 0576,+443069990178,yes,1,30477.65352037748
6550,NG,1,"Studio 7, Mohammed meadow, Gavinbury, SY6X 0TP",SY6X 0TP,(0909) 879 0916,0289018209,(0121) 496 0136,no,0,32557.103594692526
6551,BL,0,"06 Denis summit, Neilborough, HD50 4FJ",HD50 4FJ,+44(0)808 157 0903,+44306 999 0276,+44(0)1632 960566,yes,0,177225.87164244478
6552,UX,2,"3 Bennett mountains, Hannahside, N49 8WE",N49 8WE,01144960227,+44116 496 0180,+44306 999 0351,yes,0,22057.89851128407
6553,LH,1,"763 Cartwright plaza, Lydiamouth, EX8 1DQ",EX8 1DQ,+44121 4960078,+44(0)116 496 0601,(0113) 496 0980,no,0,30730.258550085444
6554,AR,2,"Flat 41, Walker village, East Amberborough, NP9 0HQ",NP9 0HQ,+44(0)20 7496 0482,+44131 4960520,+44113 496 0001,yes,1,710.0
6555,JG,1,"Flat 92, Lewis plains, Hamiltonfurt, EC8 1XH",EC8 1XH,(0131) 496 0881,0141 496 0138,0808 157 0999,no,0,710.0
6556,PS,1,"Flat 51s, Jones drive, New Teresachester, SL7 7PS",SL7 7PS,(0191) 4960363,+44(0)306 999 0071,+4420 74960400,yes,0,30445.845369107214
6557,HV,0,"Flat 5, Berry drive, Port Marian, PE90 8RP",PE90 8RP,+44121 496 0513,+441632 960 624,(01632) 960319,no,1,31893.589645791217
6558,HG,1,"Flat 13S, Brooks port, Lake Ben, JE6 4QA",JE6 4QA,029 2018681,0161 496 0738,+44306 9990156,no,0,33544.24201347779
6559,VE,0,"4 Nicole locks, South Charlenemouth, SS95 0RW",SS95 0RW,01214960133,+44(0)20 7496 0267,+44(0)306 9990963,no,0,301394.2870288352
6560,VF,0,"670 Jordan keys, Collinsberg, S2S 1BL",S2S 1BL,0131 496 0628,(029) 2018 0481,(020)74960773,no,0,254797.73151121242
